date,observer,species morpho,Species ID,species code,rf.1.a,rf.2.p,rf.3.a,rf.4.p,rf.5.a,rf.6.a,rf.7.a,rf.8.a,rf.9.p,cm.10.a,cm.11.a,cm.12.p,cm.13.a,cm.14.a,cm.15.p,cm.16.p,cm.17.a,cm.18.p,cm.19.a,control,notes
2024-08-09,AT,Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,AT,Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,AT,thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,AT,Two teardrop thick sprout ,,,,1,,,,7,,,,,,,,,,,,,,,
2024-08-09,AT,White based soft grass ,,,1,,,,,,,,,,,,,1,,2,,1,,,
2024-08-09,AT,Jagged teardrop,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-09,AT,Branching Long leaf ,,,,,,,,,1,,,,,,,,1,,,2,,,Flowering 
2024-08-09,AT,general grass ,,,29,17,4,1,35,40,19,6,5,112,3,1,113,40,19,50,2,25,8,,
2024-08-09,AT,sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-09,AT,shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,0,,,,,,,,,,,(1 pressed 8/13 from cm10.a)
2024-08-16,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,17,,,2,,,,,,2,,,,,
2024-08-16,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-08-16,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,,,,1,,,,,,,,(1 pressed 8/13 from cm13.a)
2024-08-16,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Opposite oval sprout,Erythranthe primuloides,erypri,6,2,21,,1,14,0,1,3,2,,1,63,3,6,18,1,12,,,(1 pressed 8/13 from plot rf7.a)
2024-08-16,"AT, CA",Flat Rush ,Sisyrinchium idahoense,sisida,,,,,,,,,1,,,,,,,,,,,,
2024-08-16,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol,,2,,,,,1,2,,,,,,,,,,,,, (we believe the change in number is due to the top soil being added)
2024-08-16,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,1,2,3,,6,,1,1,1,3,,,,,,,,1, Values fluctuate a lot bc control cover is pulled 
2024-08-16,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,(1 repotted8/13 from plot rf8.a)
2024-08-16,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Small Clover ,Trifolium longipes,trilon,4,1,8,1,9,,7,5,2,,,,,,,1,,,,,(1 repotted 8/13 from plot rf3.a)
2024-08-16,"AT, CA",Three leaf sprout,Viola adunca,vioadu,5,,,,3,6,,0,2,,,,2,,,,,,,,(1 pressed 8/13 from plot rf8.a)
2024-08-16,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,,,(1 repotted from plot rf6.a)
2024-08-16,"AT, CA",White based soft grass ,,,1,,,,,,,,,,,,,1,,2,,1,,,
2024-08-16,"AT, CA",Jagged teardrop,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Branching Long leaf,,,,,,,,,0,,,,,,,,1,,,2,,,(1 pressed 8/13 from plot rf7.a)
2024-08-16,"AT, CA",general grass ,,,33,17,4,1,35,40,19,6,4,116,3,1,115,40,20,50,2,25,8,,(1 repotted 8/13 from plot rf9.p)
2024-08-16,"AT, CA",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-16,"AT, CA",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",jagged Fred,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,"AT, CA",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-16,"AT, CA",Jagged fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-23,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,17,,,2,,,,,,2,,,,,
2024-08-23,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-08-23,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,,,,0,,,,,,,,(1 pulled 8/23 from plot cm13.a)
2024-08-23,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,2,3,2,,1,63,3,8,20,1,15,1,,
2024-08-23,"AT, CA",Flat Rush ,Sisyrinchium idahoense,sisida,,,,,,,,,1,,,,,,,,,,,,
2024-08-23,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol ,4,,,4,,,,12,,,,,,,,,,,,,Decrease from moss removal 
2024-08-23,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,2,,,,,,,,,,,Values fluctuate a lot bc control cover is pulled 
2024-08-23,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-08-23,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Small Clover ,Trifolium longipes,trilon,4,1,8,1,9,,7,5,2,,,,,,,1,,,,,
2024-08-23,"AT, CA",Three leaf sprout,Viola adunca,vioadu,5,,,,5,6,,,3,,,,2,,,,,,,,
2024-08-23,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Two teardrop thick sprout ,,,1,1,,,,5,,,,,,,,,,,,,1,,
2024-08-23,"AT, CA",White based soft grass ,,,1,,,,,,,,,,,,,1,,2,,1,,,
2024-08-23,"AT, CA",Jagged teardrop,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Branching Long leaf ,,,,,,,,,,,,,,,,,1,,,2,,,
2024-08-23,"AT, CA",general grass ,,,33,18,4,1,39,40,19,7,4,120,3,1,115,40,20,50,2,25,8,,
2024-08-23,"AT, CA",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-23,"AT, CA",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-08-23,"AT, CA",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-23,"AT, CA",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-23,"AT, CA",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,2,,,,,
2024-08-30,"AT, CA, NH",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-08-30,"AT, CA, NH",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,,,,2,,,,,,,,
2024-08-30,"AT, CA, NH",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,3,2,,1,63,3,9,20,1,15,1,,(1 pulled 8/30 from plot rf8.a)
2024-08-30,"AT, CA, NH",Flat Rush ,Sisyrinchium idahoense,sisida,,,,,,,,,1,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Lung liverwort,Marchantia polymorpha ,marpol ,,2,,4,,,,5,2,,,,,,,,,,,,Decrease from moss removal 
2024-08-30,"AT, CA, NH",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,Values fluctuate a lot bc control cover is pulled 
2024-08-30,"AT, CA, NH",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-08-30,"AT, CA, NH",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Small Clover ,Trifolium longipes,trilon,4,1,8,1,9,,7,5,2,,,,,,,1,,,,,
2024-08-30,"AT, CA, NH",Three leaf sprout,Viola adunca,vioadu,5,,,,5,7,,,3,,,,2,,,,,,,,
2024-08-30,"AT, CA, NH",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-08-30,"AT, CA, NH",White based soft grass ,,,1,,,,,,,,,,,,,1,,2,,1,,,
2024-08-30,"AT, CA, NH",Jagged teardrop,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Branching Long leaf ,,,,,,,,,,,,,,,,,1,,,2,,,
2024-08-30,"AT, CA, NH",general grass ,,,33,18,4,1,40,40,19,7,4,120,3,1,115,40,20,50,2,25,8,,
2024-08-30,"AT, CA, NH",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-08-30,"AT, CA, NH",Red vein opposite leaves,Epilobium ciliatum,epicil,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",Yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,2,,,,,
2024-09-06,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-09-06,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,1,,,1,1,,,,1,,,(1 pulled 9/1 from plot cm13.a)
2024-09-06,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,16,,1,3,2,,1,63,3,9,20,1,15,1,,(1 pulled 8/31 from plot rf6.a)
2024-09-06,"AT, CA",Flat Rush ,Sisyrinchium idahoense,sisida,,,,,,,,,1,,,,,5,,,,,,,
2024-09-06,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol ,,2,,,,,,1,,,,,,1,2,6,1,,,,Decrease from moss removal 
2024-09-06,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,Values fluctuate a lot bc control cover is pulled 
2024-09-06,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-09-06,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Small Clover ,Trifolium longipes,trilon,4,1,8,1,9,,7,5,2,,,,,,,2,,,,,
2024-09-06,"AT, CA",Three leaf sprout,Viola adunca,vioadu,5,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-06,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-09-06,"AT, CA",White based soft grass ,,,1,,,,,,,,,,,,,1,,10,,1,,,
2024-09-06,"AT, CA",Jagged teardrop/Serviceberry,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Branching Long leaf ,,,,,,,,,,,,,,,,,0,,,2,,,(1 pulled 9/6 from plot cm15.p)
2024-09-06,"AT, CA",general grass ,,,33,18,4,1,40,40,19,7,4,120,3,1,115,40,20,50,2,25,8,,
2024-09-06,"AT, CA",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-09-06,"AT, CA",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-06,"AT, CA",red vein opposite leaves,Epilobium ciliatum,epicil,,,,,,,,1,,,,,,,,,,,,,
2024-09-06,"AT, CA",unidentified sedge?,,,,,,,,,,,,,,,2,,,,,,,,
2024-09-11,"AT, NH",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,3,,,,,
2024-09-11,"AT, NH",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-09-11,"AT, NH",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,1,,,1,1,,,,1,,,
2024-09-11,"AT, NH",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,3,2,,1,63,3,9,22,1,20,1,,
2024-09-11,"AT, NH",Flat Rush ,Sisyrinchium idahoense,sisida,,,,,,,,,1,1,,,,6,,,,,,,
2024-09-11,"AT, NH",Lung liverwort,Marchantia polymorpha ,marpol ,,,,,,,,1,,,,,,1,,,1,,,,Decrease from moss removal 
2024-09-11,"AT, NH",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,Values fluctuate a lot bc control cover is pulled 
2024-09-11,"AT, NH",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-09-11,"AT, NH",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Small Clover ,Trifolium longipes,trilon,3,1,8,1,9,,7,5,2,,,,,,,2,,,,,Died 
2024-09-11,"AT, NH",Three leaf sprout,Viola adunca,vioadu,5,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-11,"AT, NH",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-09-11,"AT, NH",White based soft grass ,,,1,,,,,,,,,,,,,1,5,24,,1,,,
2024-09-11,"AT, NH",Jagged teardrop/Serviceberry,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Branching Long leaf ,,,,,,,,,,,,,,,,,0,,,2,,,(1 pulled 9/6 from plot cm15.p)
2024-09-11,"AT, NH",general grass ,,,33,18,4,1,40,40,19,7,4,120,3,1,115,40,20,50,2,25,8,,
2024-09-11,"AT, NH",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-11,"AT, NH",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-11,"AT, NH",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-11,"AT, NH",Red vein opposite leaves,Epilobium ciliatum,epicil,,,,,,,,1,,,,,,,,,,,,,
2024-09-11,"AT, NH",Unidentified sedge?,,,,,,,,,,,,1,,,2,,,,,,1,,
2024-09-20,"AT, NH",Yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,3,,,,,
2024-09-20,"AT, NH",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,1,,,,
2024-09-20,"AT, NH",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,1,,,1,1,,,,1,,,
2024-09-20,"AT, NH",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,3,2,,1,63,3,9,22,1,22,1,,
2024-09-20,"AT, NH",Flat Rush ,Sisyrinchium idahoense,sisida,,,,,,,,,1,1,,,,6,,,,,,,
2024-09-20,"AT, NH",Lung liverwort,Marchantia polymorpha ,marpol ,,,,,,,,1,,,,,,,,6,1,,,,Decrease from moss removal 
2024-09-20,"AT, NH",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,Values fluctuate a lot bc control cover is pulled 
2024-09-20,"AT, NH",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,
2024-09-20,"AT, NH",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Small Clover ,Trifolium longipes,trilon,3,1,8,1,9,,7,5,2,,,,,,,2,,,1,,
2024-09-20,"AT, NH",Three leaf sprout,Viola adunca,vioadu,5,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-20,"AT, NH",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Two teardrop thick sprout ,,,1,1,,,,6,,,,,,,,,,,,,1,,
2024-09-20,"AT, NH",White based soft grass ,,,1,,,,,,,,,,,,2,1,5,24,,1,,,
2024-09-20,"AT, NH",Jagged teardrop/Serviceberry,Amelanchier alnifolia ,amealn ,,,,,,,1,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Branching Long leaf ,,,,,,,,,,,,,,,,,,,,2,,,
2024-09-20,"AT, NH",general grass ,,,33,18,4,1,40,40,19,7,4,120,3,1,115,40,20,50,2,25,9,,
2024-09-20,"AT, NH",sticky grass,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-20,"AT, NH",shiny top leaf ,,,,,,,,1,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",jagged Fred,,,,,,,,,1,,,,,,,,,,,,,,
2024-09-20,"AT, NH",Not a viola,,,,,,,,,,1,,,,,,,,,,,,,
2024-09-20,"AT, NH",teardrop cluster,,,,,,,1,,,,,,,,,,,,,,,,
2024-09-20,"AT, NH",red vein opposite leaves,Epilobium ciliatum,epicil,,,,,,,,1,,,,,,,,,,,,,
2024-09-20,"AT, NH",unidentified sedge?,,,,,,,,,,,,1,,,3,,,,,,1,,
2024-09-27,"AT, CA",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Hairy Dan,Dantonia californica,dancal,2,,1,,4,,23,,,2,,,,,,3,,,,,
2024-09-27,"AT, CA",Unidentifed rush,Eleocharis sp,elesp,,,9,,1,,,,,1,1,,,,,,2,,,,
2024-09-27,"AT, CA",Willowherb ,Epilobium ciliatum,epicil,,,,,,,,,,2,,,1,1,,,,1,,,
2024-09-27,"AT, CA",Fleabane,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Opposite oval sprout ,Erythranthe primuloides,erypri,6,2,21,,1,17,,1,3,2,,1,63,3,9,22,1,22,1,,
2024-09-27,"AT, CA",Flat Rush ,Sisyrinchium idahoense,sisida,,,,,,,,,1,1,,,,9,,,,,,,
2024-09-27,"AT, CA",Lung liverwort,Marchantia polymorpha ,marpol ,,,,,,,,1,,,,,,,4,6,1,,,,Decrease from moss removal 
2024-09-27,"AT, CA",Pennycress,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,,,,,,,,,,,,,,,,,,Values fluctuate a lot bc control cover is pulled 
2024-09-27,"AT, CA",Palmate sprout,Potentilla gracilis,potgra,,2,1,2,,1,4,7,,,,1,,,,,,,,,Flowering 
2024-09-27,"AT, CA",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Small Clover ,Trifolium longipes,trilon,3,1,8,1,9,,7,5,2,,,,,,,2,,,1,,Flowering 
2024-09-27,"AT, CA",Three leaf sprout,Viola adunca,vioadu,5,,,,5,7,,,3,,,,2,,,,,,,,
2024-09-27,"AT, CA",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Helicopter plant,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Long flared plant,,,,,,,0,,,,,,,,,,,,,,,,Died 
2024-09-27,"AT, CA",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-09-27,"AT, CA",Single leaf strong vein,,,,,,,,,,,,,,,,,,,,,,,
